modLLIDs	row	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	
16	ENSG00000176022	ENSG00000176022	191.9764618	-0.04876188	0.080829516	-0.603268244	0.546330255	0.708824465
21	ENSG00000169972	ENSG00000169972	36.00017209	0.039216387	0.169561323	0.231281439	0.817096166	0.89592753
25	ENSG00000107404	ENSG00000107404	188.4929934	-0.30941699	0.093885115	-3.295698033	0.000981775	0.013405046
28	ENSG00000221978	ENSG00000221978	722.2235334	-0.237339702	0.05846421	-4.059572552	4.92E-05	0.002557327
52	ENSG00000162585	ENSG00000162585	188.1429281	-0.164085029	0.086045506	-1.906956402	0.056526233	0.162554403
72	ENSG00000235169	ENSG00000235169	188.6210585	0.436272984	0.348771295	1.250885582	0.210976225	0.385429138
76	ENSG00000198912	ENSG00000198912	140.226682	-0.235748269	0.102016437	-2.310885151	0.020839199	0.085599451
88	ENSG00000187017	ENSG00000187017	336.2141102	-0.060259565	0.322729585	-0.186718442	0.851881396	0.916259624
98	ENSG00000171735	ENSG00000171735	81.14777707	-0.378621604	0.118100132	-3.205937176	0.001346234	0.015981077
118	ENSG00000178585	ENSG00000178585	71.69136339	-0.097244244	0.120202169	-0.809005734	0.418511848	0.598635173
132	ENSG00000120948	ENSG00000120948	202.9816119	-0.069178739	0.076449245	-0.904897602	0.365519638	0.550781862
155	ENSG00000116691	ENSG00000116691	283.3042651	0.426490312	0.110996592	3.84237304	0.00012185	0.004301723
202	ENSG00000197312	ENSG00000197312	361.5048137	-0.004046183	0.074973215	-0.053968385	0.956960353	0.977328287
217	ENSG00000142632	ENSG00000142632	30.55634853	-0.375598782	0.194258333	-1.933501517	0.053174446	0.156592884
245	ENSG00000053372	ENSG00000053372	54.44421892	-0.375083388	0.149907248	-2.502103085	0.012345797	0.060860969
247	ENSG00000053371	ENSG00000053371	110.8984494	-0.223835481	0.113054627	-1.979887846	0.047716132	0.14570152
269	ENSG00000158828	ENSG00000158828	399.9633982	0.346798336	0.155873847	2.224865442	0.026090273	0.099229131
276	ENSG00000142794	ENSG00000142794	66.57078941	-0.478791367	0.184722417	-2.591950536	0.009543349	0.051844553
278	ENSG00000076864	ENSG00000076864	274.8596506	1.725586816	0.445453398	3.8737763	0.000107162	0.003941441
298	ENSG00000125945	ENSG00000125945	65.37686462	-0.138273907	0.123628434	-1.118463625	0.263369034	0.445491562
301	ENSG00000007968	ENSG00000007968	956.5298364	0.969022479	0.263577037	3.676429826	0.000236521	0.006220446
305	ENSG00000057757	ENSG00000057757	1046.152467	0.943006834	0.260666907	3.617669942	0.000297267	0.007117459
315	ENSG00000185436	ENSG00000185436	39.28597342	-0.201356324	0.181760686	-1.107810104	0.267943836	0.450829788
326	ENSG00000187010	ENSG00000187010	192.8808244	0.69828453	0.33055187	2.112480957	0.034645218	0.118712944
328	ENSG00000188672	ENSG00000188672	38.53505688	0.620887327	0.224779829	2.762202143	0.005741292	0.037683808
329	ENSG00000204178	ENSG00000204178	183.2696947	0.089075872	0.088177543	1.010187731	0.312405356	0.498948771
362	ENSG00000142751	ENSG00000142751	201.1002761	-0.146730997	0.078011988	-1.88087754	0.059988579	0.169484676
370	ENSG00000142784	ENSG00000142784	1619.191187	0.379090396	0.114358907	3.314917973	0.0009167	0.012922852
377	ENSG00000158195	ENSG00000158195	4054.599089	0.399799089	0.124712981	3.205753597	0.001347093	0.015981077
402	ENSG00000159023	ENSG00000159023	11103.44936	0.578989952	0.233341208	2.481301765	0.01309035	0.062915026
412	ENSG00000060688	ENSG00000060688	155.4810865	0.004331263	0.0923019	0.046924956	0.962573038	0.980759979
414	ENSG00000121769	ENSG00000121769	27.64560107	-0.132783159	0.223474548	-0.594175756	0.552394566	0.713224759
415	ENSG00000168528	ENSG00000168528	54.34264781	0.763789912	0.297489141	2.56745476	0.010244816	0.054352634
425	ENSG00000025800	ENSG00000025800	516.5454013	0.117468164	0.059370842	1.978549729	0.047866724	0.14604755
427	ENSG00000160050	ENSG00000160050	39.18218404	-0.083285832	0.154305286	-0.539747107	0.589371449	0.741481853
438	ENSG00000160058	ENSG00000160058	588.9736915	0.070877102	0.04861589	1.457899925	0.144868129	0.303011379
454	ENSG00000116525	ENSG00000116525	216.416864	-0.041106334	0.08804095	-0.466900161	0.64057131	0.779360729
462	ENSG00000163866	ENSG00000163866	221.5561792	0.051257641	0.073182728	0.700406258	0.483673629	0.655605579
504	ENSG00000134690	ENSG00000134690	11.25902615	-0.321088654	0.297828617	-1.078098729	0.280989699	NA
507	ENSG00000196449	ENSG00000196449	33.90279792	0.066535177	0.159726524	0.416556843	0.677002582	0.804980515
560	ENSG00000127125	ENSG00000127125	179.4400105	-0.071939309	0.094365549	-0.762347165	0.445852831	0.623499044
563	ENSG00000065978	ENSG00000065978	5711.192915	0.653759656	0.189650485	3.44718157	0.000566468	0.010120661
568	ENSG00000177868	ENSG00000177868	24.69745177	0.174636626	0.205173417	0.851165944	0.394677178	0.577308063
569	ENSG00000164010	ENSG00000164010	80.713574	0.387348831	0.148687913	2.605113103	0.009184394	0.050409737
571	ENSG00000117394	ENSG00000117394	783.3158979	0.540812178	0.15134876	3.573284512	0.000352531	0.007660552
