	modLLIDs	row	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
39	ENSG00000197530	ENSG00000197530	602.8435715	-0.391571062	0.0899117	-4.3550624	1.33E-05	0.001303241
40	ENSG00000189409	ENSG00000189409	8.966456438	-0.645257834	0.430226686	-1.499808952	0.133663898	NA
323	ENSG00000020633	ENSG00000020633	1148.260044	-0.221251152	0.09083258	-2.435812703	0.014858376	0.068742647
353	ENSG00000176083	ENSG00000176083	47.15876219	0.212389821	0.30865359	0.688117127	0.491379026	0.662612047
861	ENSG00000069702	ENSG00000069702	250.0359344	-0.582158798	0.164305952	-3.543138835	0.000395394	0.00830046
1072	ENSG00000117281	ENSG00000117281	44.99463995	-0.433235302	0.188853423	-2.294029385	0.021788811	0.088205669
1179	ENSG00000225556	ENSG00000225556	30.18104063	-0.404996451	0.240419552	-1.684540411	0.092077276	0.224980059
1348	ENSG00000027869	ENSG00000027869	186.4602988	-0.394528938	0.131794997	-2.993504671	0.002757933	0.024414352
1383	ENSG00000163564	ENSG00000163564	240.6445369	-0.394299418	0.136838917	-2.881485957	0.003958049	0.03025411
1394	ENSG00000181036	ENSG00000181036	171.0144947	-0.36618692	0.201231581	-1.819728884	0.068800302	0.184661268
1417	ENSG00000162739	ENSG00000162739	247.2026458	-0.194931708	0.105359217	-1.85016284	0.064290083	0.177000987
1421	ENSG00000026751	ENSG00000026751	222.2102316	-0.217663275	0.141905418	-1.533861625	0.125063698	0.276570511
1456	ENSG00000162746	ENSG00000162746	30.05499685	-0.18339853	0.211510137	-0.867090971	0.385892167	0.568988877
1464	ENSG00000198574	ENSG00000198574	79.55203315	-0.898031632	0.194256201	-4.622923879	3.78E-06	0.000673955
1532	ENSG00000117560	ENSG00000117560	40.75365951	-0.463134995	0.234625777	-1.973930575	0.048389638	0.147070471
1602	ENSG00000116667	ENSG00000116667	84.66324941	-0.48353992	0.22300615	-2.168280646	0.03013734	0.108148526
1674	ENSG00000133067	ENSG00000133067	44.31415353	-0.967122201	0.278976595	-3.466678636	0.000526931	0.00964892
1699	ENSG00000143842	ENSG00000143842	56.83446098	-0.387349816	0.210565934	-1.83956545	0.065832061	0.179767812
2457	ENSG00000115523	ENSG00000115523	805.6703996	-0.690483946	0.198334836	-3.48140528	0.00049879	0.009457705
2470	ENSG00000153563	ENSG00000153563	496.2641092	-0.175745568	0.173948948	-1.010328429	0.312337965	0.498948771
2471	ENSG00000172116	ENSG00000172116	136.9106422	-0.218502695	0.185509703	-1.17785049	0.238856216	0.417533314
2500	ENSG00000158050	ENSG00000158050	91.11633958	-0.702115927	0.205392424	-3.418411995	0.000629877	0.010682374
3138	ENSG00000171596	ENSG00000171596	90.77137792	-0.815086069	0.232805636	-3.501144055	0.000463265	0.009199574
3180	ENSG00000157985	ENSG00000157985	99.86043319	-0.523527764	0.228439666	-2.291755076	0.02191978	0.088600571
3363	ENSG00000163508	ENSG00000163508	136.2481593	-0.416439012	0.156081188	-2.668092273	0.00762833	0.044816918
3481	ENSG00000172215	ENSG00000172215	106.7157785	-0.236115458	0.132501272	-1.781986347	0.074751458	0.195855647
3590	ENSG00000007402	ENSG00000007402	50.48884057	-0.565597848	0.279076325	-2.026678002	0.042695354	0.135876171
3787	ENSG00000114423	ENSG00000114423	460.3325207	-0.255091933	0.09239939	-2.76075342	0.00576682	0.037746892
3806	ENSG00000240891	ENSG00000240891	53.11706981	-0.272143058	0.158180834	-1.720455319	0.085349709	0.213528661
3807	ENSG00000144824	ENSG00000144824	47.3592707	-0.376872123	0.219437968	-1.71744264	0.085898326	0.214153712
4178	ENSG00000172578	ENSG00000172578	571.5109095	0.161581038	0.067458927	2.395250627	0.016609008	0.073620291
4317	ENSG00000159674	ENSG00000159674	408.9238497	-0.647406734	0.20671417	-3.131893355	0.00173683	0.018427949
4365	ENSG00000152969	ENSG00000152969	106.6441688	-0.091864846	0.193296442	-0.475253681	0.63460617	0.775832923
4429	ENSG00000137441	ENSG00000137441	77.69756643	-0.383348187	0.226703108	-1.690970147	0.090842505	0.22281337
4464	ENSG00000197057	ENSG00000197057	69.11612988	-0.472940913	0.230091379	-2.055448205	0.039835734	0.130113319
4558	ENSG00000171476	ENSG00000171476	58.51694389	-0.552794646	0.229608287	-2.407555286	0.01605973	0.071960489
4612	ENSG00000080493	ENSG00000080493	22.09909407	-0.432858976	0.279794429	-1.54706074	0.1218486	0.272070682
5300	ENSG00000181104	ENSG00000181104	105.0443305	-0.27222838	0.172699742	-1.576310287	0.114954312	0.261443779
5665	ENSG00000156475	ENSG00000156475	68.54450234	-0.296035256	0.186741531	-1.585267376	0.112905598	0.25888789
5668	ENSG00000176049	ENSG00000176049	30.07352612	-0.492140826	0.241171528	-2.040625735	0.041288042	0.133163847
5681	ENSG00000169252	ENSG00000169252	288.927915	-0.149559855	0.111579274	-1.34039101	0.180118257	0.348440057
6551	ENSG00000196586	ENSG00000196586	38.73352601	-0.309521473	0.229708456	-1.347453544	0.177834206	0.346028737
6750	ENSG00000164483	ENSG00000164483	161.5535298	-0.410523727	0.129571076	-3.168328453	0.001533182	0.017182162
6886	ENSG00000146433	ENSG00000146433	414.748716	-0.095400016	0.077963985	-1.223642125	0.221087261	0.39632538
6907	ENSG00000026652	ENSG00000026652	186.6464867	-0.001629166	0.109840842	-0.014832063	0.98816616	0.994851535
6970	ENSG00000136213	ENSG00000136213	658.647038	-0.330811828	0.104866066	-3.154612734	0.001607113	0.017657213
7258	ENSG00000158321	ENSG00000158321	158.6402227	-0.498226418	0.178528335	-2.790741419	0.005258747	0.035735159
7338	ENSG00000085563	ENSG00000085563	70.99420663	-0.461851104	0.184099092	-2.508709298	0.012117316	0.060258531
8010	ENSG00000189233	ENSG00000189233	43.65046741	0.130716551	0.240333904	0.543895591	0.586513323	0.739574238
8136	ENSG00000198846	ENSG00000198846	64.29462965	-0.177114008	0.155997205	-1.135366544	0.256221771	0.43762068
8157	ENSG00000185697	ENSG00000185697	235.859821	-0.543634514	0.158324238	-3.433678392	0.00059545	0.010401357
8300	ENSG00000104490	ENSG00000104490	82.39072433	-0.401888607	0.171729008	-2.340248818	0.019270896	0.081346017
8556	ENSG00000173068	ENSG00000173068	23.17267561	-1.352569972	0.347707119	-3.889969163	0.000100257	0.003789778
8765	ENSG00000148019	ENSG00000148019	182.2735956	-0.520823253	0.134495207	-3.872429833	0.000107756	0.003941441
9215	ENSG00000232434	ENSG00000232434	90.06283041	-0.31996397	0.177748607	-1.800092699	0.071846002	0.190646173
9223	ENSG00000107317	ENSG00000107317	60.29944082	-0.88425014	0.267902275	-3.300644386	0.000964631	0.013310091
9226	ENSG00000169583	ENSG00000169583	74.60018093	-0.550854055	0.202236596	-2.723809962	0.006453363	0.040286788
9282	ENSG00000196139	ENSG00000196139	16.46922727	-0.771211797	0.364116909	-2.11803346	0.034172234	NA
9554	ENSG00000180644	ENSG00000180644	1206.109989	-0.475554011	0.160176033	-2.96894612	0.00298823	0.025493201
9610	ENSG00000151208	ENSG00000151208	66.0989115	-0.710197313	0.203090814	-3.496944542	0.00047062	0.009222768
10370	ENSG00000121680	ENSG00000121680	251.1202706	-0.039773536	0.071547033	-0.555907554	0.578274054	0.732984078
10724	ENSG00000172543	ENSG00000172543	341.1282613	-0.399332158	0.132322705	-3.017865732	0.002545617	0.023248873
10933	ENSG00000137501	ENSG00000137501	207.0938722	-0.456436781	0.152911925	-2.984965243	0.002836105	0.024752232
10940	ENSG00000150687	ENSG00000150687	55.25100312	-0.462145779	0.292277389	-1.581188955	0.11383484	0.260219915
11073	ENSG00000149294	ENSG00000149294	64.90132844	-0.700415736	0.228058425	-3.071211842	0.002131918	0.020868303
11266	ENSG00000149328	ENSG00000149328	26.55902556	-0.118272838	0.32482965	-0.364107272	0.715777907	0.830908113
11267	ENSG00000109956	ENSG00000109956	105.50586	-0.082352776	0.239086323	-0.344447874	0.730509491	0.839889445
11385	ENSG00000139187	ENSG00000139187	150.4752559	-0.413078992	0.170026936	-2.429491475	0.01512002	0.069403953
11386	ENSG00000175899	ENSG00000175899	718.6723988	-0.446753847	0.195858793	-2.280999695	0.022548465	0.090224559
11387	ENSG00000126838	ENSG00000126838	436.7812201	-0.437656799	0.222655086	-1.965626778	0.049341739	0.148841966
11392	ENSG00000150045	ENSG00000150045	56.37037289	-1.138002435	0.269821508	-4.217612014	2.47E-05	0.001718826
11405	ENSG00000134539	ENSG00000134539	529.1462764	-0.487297498	0.181059147	-2.691371891	0.007115882	0.042768053
11411	ENSG00000205809	ENSG00000205809	9.61762462	-0.718647518	0.480759401	-1.4948174	0.134962104	NA
11412	ENSG00000134545	ENSG00000134545	21.65525643	-0.639363717	0.335323267	-1.906708484	0.056558348	0.162606979
12756	ENSG00000100450	ENSG00000100450	135.1195026	0.007253439	0.286090659	0.025353639	0.97977289	0.989773152
12757	ENSG00000100453	ENSG00000100453	170.0367943	-0.363621321	0.177622388	-2.047159283	0.040642448	0.13169587
12847	ENSG00000168229	ENSG00000168229	219.6373723	-0.728317791	0.18446063	-3.948364436	7.87E-05	0.003361249
13161	ENSG00000078304	ENSG00000078304	1565.802764	-0.030224745	0.041891433	-0.721501804	0.470600831	0.645176141
13343	ENSG00000062524	ENSG00000062524	28.62045944	-1.056264246	0.242986721	-4.347003998	1.38E-05	0.001319059
13365	ENSG00000159433	ENSG00000159433	130.026999	-0.37118937	0.149424384	-2.4841285	0.012986894	0.062622609
13398	ENSG00000229474	ENSG00000229474	192.7308753	0.142064575	0.11301949	1.256991825	0.208756596	0.382801832
14350	ENSG00000205336	ENSG00000205336	458.3922001	-0.405014982	0.197941955	-2.046130047	0.040743578	0.131878166
15108	ENSG00000271503	ENSG00000271503	1252.674961	-0.187359232	0.137881295	-1.358844443	0.174195887	0.341531122
15118	ENSG00000275302	ENSG00000275302	53.07823491	-0.413925885	0.214736579	-1.927598399	0.053905098	0.157913863
15178	ENSG00000141736	ENSG00000141736	90.61541399	-0.510740915	0.15722136	-3.248546606	0.001159962	0.014800746
15408	ENSG00000073861	ENSG00000073861	255.8380993	-0.46080387	0.157898534	-2.918354332	0.003518842	0.028284586
15519	ENSG00000005379	ENSG00000005379	173.4070306	-0.721970474	0.129941966	-5.556099361	2.76E-08	4.63E-05
15598	ENSG00000108370	ENSG00000108370	29.85944404	-0.409865047	0.255776631	-1.602433516	0.109059778	0.252383219
15679	ENSG00000073350	ENSG00000073350	221.8430413	-0.51250256	0.135132896	-3.792581795	0.000149089	0.004900793
15718	ENSG00000182534	ENSG00000182534	47.22426046	-0.294061905	0.269488461	-1.091185515	0.27519126	0.459211988
15908	ENSG00000141458	ENSG00000141458	432.0063518	-0.210008015	0.073401919	-2.861069806	0.004222141	0.03135533
15973	ENSG00000141622	ENSG00000141622	42.57957786	-0.67679857	0.272738118	-2.48149608	0.013083215	0.062915026
15990	ENSG00000101665	ENSG00000101665	140.0691757	-0.213526309	0.120432757	-1.772991944	0.076230042	0.198309442
