	modLLIDs	row	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
34	ENSG00000160072	ENSG00000160072	174.5141572	-0.289582748	0.105083485	-2.755739859	0.005855955	0.037997374
42	ENSG00000189339	ENSG00000189339	866.1929347	-0.112593227	0.065242134	-1.725774737	0.084387946	0.211979636
57	ENSG00000149527	ENSG00000149527	198.6694872	-0.581327795	0.118498872	-4.905766509	9.31E-07	0.000283542
61	ENSG00000157870	ENSG00000157870	82.37315185	-0.20788714	0.102548924	-2.027199632	0.042642001	0.135779892
89	ENSG00000215788	ENSG00000215788	184.5446683	-0.488242388	0.162937663	-2.996498046	0.002731	0.024235518
90	ENSG00000171680	ENSG00000171680	27.62636656	-0.453735724	0.246398221	-1.841473211	0.065552243	0.179258471
108	ENSG00000131686	ENSG00000131686	72.9052521	-0.205785587	0.247977777	-0.829854955	0.406620795	0.587902358
121	ENSG00000162444	ENSG00000162444	37.03106055	0.337508476	0.201964298	1.671129399	0.094696122	0.229063293
127	ENSG00000241563	ENSG00000241563	2.802989157	0.528119137	0.631830119	0.835856222	0.403235793	NA
128	ENSG00000160049	ENSG00000160049	116.6731765	-0.031210027	0.108771735	-0.286931406	0.774164843	0.868193632
137	ENSG00000198793	ENSG00000198793	615.990314	-0.082887019	0.056064158	-1.478431542	0.139292308	0.295314765
142	ENSG00000132879	ENSG00000132879	78.73287616	-0.382970673	0.12370049	-3.095951143	0.001961827	0.019864975
144	ENSG00000116670	ENSG00000116670	88.33630166	0.140833451	0.130902385	1.075866197	0.281987101	0.467509076
150	ENSG00000175206	ENSG00000175206	3.667063513	0.140240694	0.513038498	0.273353158	0.784581756	NA
159	ENSG00000162496	ENSG00000162496	153.2229373	-0.436151383	0.127388011	-3.423802442	0.000617515	0.010546476
201	ENSG00000116771	ENSG00000116771	32.55262952	-0.166845933	0.211744593	-0.787958409	0.430721034	0.609626351
223	ENSG00000219481	ENSG00000219481	156.0630222	-0.280538176	0.135720847	-2.067023459	0.038731944	0.127974347
242	ENSG00000169991	ENSG00000169991	177.0597813	-0.377547393	0.135204817	-2.792410809	0.005231689	0.035654339
248	ENSG00000040487	ENSG00000040487	94.09662951	0.127010569	0.114496543	1.109296104	0.267302465	0.450266196
250	ENSG00000173436	ENSG00000173436	69.93750533	-0.177290112	0.118560136	-1.495360226	0.134820455	0.289813357
285	ENSG00000162552	ENSG00000162552	123.4905344	0.010340083	0.105278617	0.09821636	0.921760492	0.957939917
299	ENSG00000204219	ENSG00000204219	50.71553626	-0.080353736	0.232178874	-0.346085476	0.729278478	0.839643935
302	ENSG00000117318	ENSG00000117318	69.81776878	-0.409557528	0.177475728	-2.307681912	0.021016835	0.086058485
318	ENSG00000001461	ENSG00000001461	428.8899446	-0.146045624	0.084504909	-1.728250171	0.083943382	0.211392674
319	ENSG00000117602	ENSG00000117602	534.010035	-0.299932133	0.128525012	-2.333647969	0.019614163	0.082204669
330	ENSG00000157978	ENSG00000157978	813.5528982	-0.232017912	0.114265638	-2.030513435	0.042304377	0.135217579
331	ENSG00000117643	ENSG00000117643	262.4171907	-0.302984599	0.149785907	-2.022784417	0.043095379	0.136815899
372	ENSG00000142765	ENSG00000142765	727.1259212	-0.309804584	0.060205303	-5.145802261	2.66E-07	0.000164819
378	ENSG00000126705	ENSG00000126705	170.1642369	-0.205358803	0.099886298	-2.05592565	0.039789683	0.130109443
382	ENSG00000117758	ENSG00000117758	216.7700131	0.274339597	0.073050925	3.755456833	0.000173026	0.005215612
394	ENSG00000204138	ENSG00000204138	207.583137	-0.141881322	0.092169116	-1.539358605	0.123716774	0.274760608
433	ENSG00000182866	ENSG00000182866	830.0903674	-0.286722834	0.101868745	-2.81463009	0.004883341	0.034050151
436	ENSG00000162526	ENSG00000162526	7.305133687	-0.545140835	0.364923798	-1.493848406	0.135215246	NA
453	ENSG00000142920	ENSG00000142920	40.69713835	-0.316702739	0.225569256	-1.404015532	0.160314225	0.323434705
475	ENSG00000020129	ENSG00000020129	158.4910731	0.018481752	0.10151809	0.182053782	0.855540519	0.918766269
482	ENSG00000126070	ENSG00000126070	490.0720205	-0.112563177	0.060452755	-1.862002421	0.062602749	0.174026464
486	ENSG00000054116	ENSG00000054116	154.1813195	0.052140977	0.083353147	0.625542998	0.531614737	0.697896465
499	ENSG00000163877	ENSG00000163877	184.0884118	0.044102145	0.076394931	0.577291504	0.563742552	0.722249067
527	ENSG00000116983	ENSG00000116983	43.74328503	-0.333432013	0.250673502	-1.330144631	0.183470623	0.352976188
557	ENSG00000198815	ENSG00000198815	445.5643841	-0.050288749	0.06184895	-0.813089774	0.416166589	0.59642258
582	ENSG00000198198	ENSG00000198198	875.1363721	-0.165454643	0.051583109	-3.207535321	0.001338776	0.01594595
